prompt,response,clauses_text_final,voice,idx,abstraction_score_normalized,reading_ease_normalized,grading_level_normalized
The past,"seems like remembering a movie I once watched, one that I can have feelings about when remembered...and more feelings when there's something i haven't yet digested from the past","['seems like', 'remembering a movie', 'I once watched one', 'that I can have feelings about', 'when remembered and more feelings', 'when there s something', 'yet digested from the past']","['A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def']",388,"[0.48, 0.56, 1.0, 1.0, 0.56, 0.56, 0.56]","[0.0, 0.26, 0.01, 0.06, 0.16, 0.07, 0.11]","[0.01, 0.27, 0.02, 0.08, 0.18, 0.09, 0.13]"
Change is,"as I experience it now, often more demanding than I feel I am able to manage, given the actual Situation in politics in Europe and the tecnologically driven changes in all sectors of economy - nevertheless I enjoy discovery and try to find the best in all the changing Things around me. ","['as I experience it now often more demanding', 'than I feel', 'I am able to manage given the actual Situation in politics in Europe and the changes in all sectors of economy', 'tecnologically driven', 'nevertheless I enjoy discovery and', 'try to find the best in all the changing Things around me']","['A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def']",389,"[1.0, 0.88, 1.0, 1.0, 1.0, 1.0]","[0.21, 0.01, 0.21, 0.75, 0.31, 0.05]","[0.25, 0.02, 0.32, 0.76, 0.33, 0.11]"
At times I worry about,"the hours I work and the impact on my family life.  I love my job and my family but in most cases, work takes priority.","['the hours and the impact on my family life', 'I work', 'I love my job and my family but', 'in most cases work takes priority']","['Undefined', 'A_def', 'A_pron_x', 'A_def', 'A_def']",390,"[1.0, 0.88, 0.88, 1.0]","[0.11, 0.0, 0.08, 0.18]","[0.15, 0.01, 0.12, 0.21]"
A partner has the right to,"have fun, be heard, have an opinion, have their own friends and make their own decisions.","['have fun', 'be heard', 'have', 'an opinion have their own friends and', 'make their own decisions']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_pron_x']",391,"[0.56, 0.56, 0.56, 0.56, 1.0]","[0.0, 0.0, 0.0, 0.05, 0.13]","[0.01, 0.01, 0.0, 0.09, 0.15]"
What I like to do best is,be active.,['be active'],['P_bevb_x'],392,[1.0],[0.13],[0.13]
If I were in charge,life for everyone would be frightening!,"['life for everyone', 'would be frightening']","['Undefined', 'P_bevb_x']",393,"[0.56, 0.56]","[0.17, 0.17]","[0.18, 0.18]"
Raising a family,is a delight,['is a delight'],['P_bevb_x'],394,[0.56],[0.09],[0.1]
My conscience bothers me if,I have done something I know I shouldn't have.,"['I have done something', 'I know', 'I shouldn', 't have']","['P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x']",395,"[0.88, 0.88, 0.88, 0.56]","[0.07, 0.0, 0.0, 0.0]","[0.09, 0.01, 0.01, 0.01]"
The thing I like about myself is,"the way in which I am made up of the constellation of relationships, experiences, and influences that have touched my life.  But that's a hard question to answer because there's a really blurry line between ""myself"" and ""everything else.""","['the way', 'in which I am made up of the constellation of relationships experiences and influences', 'that have touched my life', 'But that s a hard question to answer', 'because there s a really blurry line between myself and everything else']","['Undefined', 'P_bevb_x', 'A_pron_x', 'A_def', 'A_def', 'A_def']",396,"[0.56, 1.0, 1.0, 0.56, 1.0]","[0.0, 0.24, 0.01, 0.08, 0.2]","[0.01, 0.3, 0.03, 0.12, 0.26]"
Sometimes I wish that,"I was a writer or an academic, or a cheese maker",['I was a writer or an academic or a cheese maker'],['P_bevb_x'],397,[1.0],[0.12],[0.17]
The past,"â€œThe secret of health for both mind and body is not to mourn for the past, nor to worry about the future, but to live the present moment wisely and earnestly.â€ 
â€• Bukkyo Dendo Kyokai, The Teaching of Buddha ","['The secret of health for both mind and body is not to mourn for the past nor', 'to worry about the future but', 'to live the present moment wisely and earnestly Bukkyo Dendo Kyokai The Teaching of Buddha']","['P_bevb_x', 'A_def', 'A_def', 'A_def']",398,"[1.0, 0.56, 1.0]","[0.06, 0.1, 0.12]","[0.15, 0.12, 0.15]"
A teacher has the right to,I don't mean to be oppositional. . but this sentence stem. . .like so many others. . isn't one I can really answer outside of context.  Rights. This is a wobbly construct.  I'm sorry.  I'm out of time otherwise I would write a bit about the possibility of rights . .the idea of having a right. . the usage of the language of rights.,"['I don', 't mean to be oppositional but', 'this sentence stem like t one', 'so many others isn', 'I can really answer outside of context', 'This is a wobbly construct', 'I m sorry', 'I m out of time', 'otherwise I would write a bit about the possibility of rights the idea of', 'having a right the usage of the language of rights']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_get_x', 'A_def', 'P_bevb_x', 'P_bevb_x']",399,"[0.88, 0.56, 1.0, 0.56, 1.0, 1.0, 0.88, 0.88, 0.88, 0.56]","[0.0, 0.18, 0.06, 0.07, 0.2, 0.11, 0.09, 0.01, 0.15, 0.1]","[0.01, 0.21, 0.08, 0.09, 0.23, 0.13, 0.1, 0.03, 0.21, 0.15]"
Business and society,"all businesses should have a social responsibility and share the wealth. Our economy works in a certain way and understanding how it works makes us more productive and happier . everything has to do with business and society, we need to earn a living because we choose to live in the societies we do, be it pharmacy, coaching , teaching or other we cannot abstract the money part of our life and just be. I wish i could just help others and exchange services but this is not possible in the life that i chose","['all businesses should have a social responsibility and', 'share the wealth', 'Our economy works in a certain way and understanding', 'how it works', 'makes us more productive and happier', 'everything has to do with business and society', 'we need to earn a living', 'because we choose to live in the societies', 'we do', 'be it pharmacy coaching teaching or other', 'we can not abstract the money part of our life and', 'just be', 'I wish', 'i could just help others and exchange services', 'but this is not possible in the life', 'that i chose']","['P_bevb_x', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def']",400,"[1.0, 0.56, 1.0, 0.56, 1.0, 1.0, 0.56, 1.0, 0.44, 1.0, 1.0, 0.48, 0.88, 1.0, 0.56, 1.0]","[0.27, 0.01, 0.19, 0.01, 0.18, 0.18, 0.06, 0.11, 0.0, 0.2, 0.08, 0.0, 0.0, 0.11, 0.08, 0.01]","[0.31, 0.02, 0.23, 0.02, 0.21, 0.21, 0.08, 0.15, 0.01, 0.23, 0.13, 0.01, 0.01, 0.15, 0.12, 0.02]"
I am,"a mother, a wife, a daughter, a sister,a friend,a boss , a coworker, a teacher, a lobbyist, a humanitarian person, helping the most people i can, a citizen of this world","['a mother a wife a daughter a sister a friend a boss a coworker a teacher a lobbyist', 'helping the most people', 'i can a citizen of this world']","['Undefined', 'A_def', 'P_bevb_x']",401,"[1.0, 0.56, 1.0]","[0.16, 0.13, 0.09]","[0.25, 0.15, 0.12]"
When I am nervous,"I start by receiving the nervous state in my body and in trying to put words to the experience. If neccessary, I will do shadow work to help me diffentiate my nervousness from my father's who was a very very nervous man. Last but not least, I love nervous Pierre to life.","['I start by', 'receiving the nervous state in my body and in', 'trying to put words to the experience', 'If neccessary I will do shadow work', 'to help', 'me diffentiate my nervousness from my father s', 'who was a very very nervous man', 'I love nervous Pierre to life']","['A_def', 'A_pron_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_pron_x', 'P_bevb_x', 'A_def']",402,"[0.88, 1.0, 1.0, 1.0, 0.56, 0.56, 0.56, 0.88]","[0.01, 0.11, 0.16, 0.13, 0.0, 0.24, 0.05, 0.06]","[0.02, 0.15, 0.19, 0.16, 0.01, 0.28, 0.09, 0.08]"
When people are helpless,I want to help them,['I want to help them'],"['A_def', 'A_def']",403,[0.88],[0.01],[0.03]
I am,"me, and funnily enough no-one else in the whole wide world is me. I am a mother, a daughter, a wife, an employee, a citizen of the world, a unique individual. Which one of these I choose to rule my day is up to me, and whilst others can force my hand I ultimately have the responsibility for how I look at the world.  ","['me and funnily enough no one else in the whole wide world', 'is me', 'I am a mother a daughter a wife an employee a citizen of the world a unique individual', 'I choose to rule my day', 'Which one of these is up to me and whilst', 'others can force my hand', 'I ultimately have the responsibility for', 'how I look at the world']","['Undefined', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_pron_x', 'P_bevb_x', 'A_pron_x', 'P_bevb_x', 'A_def']",404,"[0.56, 0.44, 1.0, 1.0, 1.0, 1.0, 0.88, 0.88]","[0.07, 0.0, 0.19, 0.01, 0.03, 0.06, 0.35, 0.01]","[0.13, 0.01, 0.28, 0.04, 0.07, 0.08, 0.37, 0.04]"
The thing I like about myself is,"My ability of open mindedness, realizing that we are all living with needs, dreams, ambitions, etc., and my ability to understand that and not to judge by other standards.
Also that I curb craving material things as Buddha teaches, so man does not suffer.    ","['My ability of open mindedness', 'that we are all living with needs dreams ambitions etc and my ability', 'to understand that', 'and not to judge by other standards Also', 'that I curb craving material things', 'as Buddha teaches', 'so man does not suffer']","['Undefined', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x']",405,"[0.56, 1.0, 0.56, 0.56, 1.0, 1.0, 0.56]","[0.21, 0.13, 0.17, 0.11, 0.18, 0.17, 0.06]","[0.23, 0.2, 0.18, 0.15, 0.21, 0.18, 0.08]"
Change is,"is a myth. In a universe that human science continually seeks constants, change is perhaps one of the greatest constants in an ever unfolding universe. Yet constants are also a myth. Gravity is not constant, the speed of light changes, everything interacts in a way that is affected by the interaction. Therefore change could also simply be called Life. An expression of the movement of reality, experienced only through contrast or interposition. Change being the impulse that allows ultimate reality to experience itself. A great forgetting, a selective amnesia, to amuse an otherwise bored deity perhaps? Change is the joy of a sunrise, a baby's first step, a teenagers first kiss, the last glimpse of the dying, and a great remembering that nothing ever really changes.","['In a universe', 'is a myth', 'that human science continually seeks constants change', 'is perhaps one of the greatest constants in an universe', 'ever unfolding', 'Yet constants are also a myth Gravity', 'is not constant the speed of', 'light changes', 'everything interacts in a way', 'that is affected by the interaction', 'Therefore change could also simply be called Life An expression of the movement of reality Change', 'experienced only through contrast or interposition', 'being the impulse', 'that allows ultimate reality', 'to experience itself', 'A great forgetting a selective amnesia', 'to amuse an otherwise bored deity perhaps Change', 'is the joy of a sunrise a baby s first step a teenagers', 'first kiss the last glimpse of', 'the dying and a great remembering', 'that nothing ever really changes']","['Undefined', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'A_def']",406,"[0.88, 0.56, 1.0, 1.0, 0.56, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.56, 0.56, 1.0, 1.0, 1.0, 0.56, 0.56, 0.56, 1.0]","[0.09, 0.01, 0.27, 0.13, 0.38, 0.16, 0.06, 0.0, 0.21, 0.22, 0.16, 0.39, 0.17, 0.38, 0.34, 0.26, 0.15, 0.07, 0.01, 0.18, 0.21]","[0.1, 0.02, 0.3, 0.17, 0.38, 0.19, 0.08, 0.01, 0.23, 0.25, 0.2, 0.42, 0.18, 0.4, 0.35, 0.29, 0.18, 0.14, 0.04, 0.21, 0.23]"
Raising a family,"Love enlivens reality through Kosmic expression of form through Awarness. In this light family is an expression of this Kosmic display of yin and yang, love and wisdom, fullness and freedom.","['Love', 'enlivens reality through Kosmic expression of form through Awarness', 'In this light family is an expression of this Kosmic display of yin and yang love and wisdom fullness and freedom']","['Undefined', 'A_def', 'P_bevb_x']",407,"[0.44, 1.0, 1.0]","[0.0, 0.25, 0.17]","[0.0, 0.29, 0.27]"
I feel sorry,for the pain that all humans and all beings on this earth must endure as part of the experience of being here.,"['for the pain', 'that all humans and all beings on this earth must endure as part of the experience of', 'being here']","['Undefined', 'P_bevb_x', 'P_bevb_x']",408,"[0.56, 1.0, 0.56]","[0.01, 0.14, 0.13]","[0.02, 0.22, 0.13]"
My main problem is,This stem is irrelevant.  I have no problem.  God Is Everywhere Being Itself with infinite blessings on *me* and the me that is not me.,"['This stem is irrelevant', 'I have no problem', 'God Is Everywhere', 'Being Itself with infinite blessings on me and the me', 'that is not me']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x']",409,"[0.56, 0.88, 0.88, 0.88, 0.56]","[0.2, 0.07, 0.17, 0.15, 0.01]","[0.21, 0.09, 0.18, 0.2, 0.02]"
When I get mad,i feel adrenaline through my human body and it is fierce and i love it because it moves me and it is no different than the Spirit which moves all.,"['i feel adrenaline through my human body and', 'it is fierce and', 'i love it', 'because it moves me and', 'it is no different than the Spirit', 'which moves all']","['A_pron_x', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def']",410,"[0.56, 1.0, 0.44, 1.0, 0.8, 1.0]","[0.11, 0.01, 0.01, 0.06, 0.13, 0.01]","[0.15, 0.02, 0.02, 0.08, 0.16, 0.02]"
A partner has the right to,"Be who she is fully and freely with a joyful heart, passion, energy and largess.","['Be', 'who she is fully and freely with a joyful heart passion energy and largess']","['P_bevb_x', 'P_bevb_x']",411,"[0.44, 0.56]","[0.0, 0.13]","[0.0, 0.2]"
If I were in charge,"I would express mySelf as heaven and earth, and all of form and formlessness allowing infinite creativity to reveal and evolve itself in the Play of Consciousness.","['I would express mySelf as heaven and earth and all of form and formlessness', 'infinite creativity to reveal and', 'evolve itself in the Play of Consciousness']","['P_bevb_x', 'A_def', 'A_def']",412,"[0.88, 1.0, 1.0]","[0.13, 0.31, 0.13]","[0.2, 0.33, 0.16]"
My conscience bothers me if,the human form/consicousness separates from the One even for a moment.,['the human form consicousness separates from the One even for a moment'],['A_def'],413,[1.0],[0.18],[0.24]
Sometimes I wish that,"I didn't have to work outside my home, so that I could have a dog.","['I didn', 't have to work outside my home', 'so that I could have a dog']","['P_bevb_x', 'A_pron_x', 'A_pron_x', 'P_bevb_x']",414,"[0.88, 0.56, 1.0]","[0.0, 0.05, 0.02]","[0.01, 0.09, 0.05]"
Crime and delinquency could be halted if,we went back to public executions. ,['we went back to public executions'],['A_def'],415,[1.0],[0.18],[0.21]
Sometimes I wish that,I would have been wiser at a younger age. ,['I would have been wiser at a younger age'],['P_bevb_x'],416,[0.88],[0.05],[0.09]
What gets me into trouble is,stupid people ,['stupid people'],['Undefined'],417,[0.48],[0.13],[0.13]
Education,is for winners ,['is for winners'],['P_bevb_x'],418,[0.56],[0.09],[0.1]
When they avoided me,I avoided them back,['I avoided them back'],['A_def'],419,[1.0],[0.07],[0.09]
If I had more money,I would be rich ,['I would be rich'],['P_bevb_x'],420,[1.0],[0.01],[0.02]
What I like to do best is,workout and eat!,['workout and eat'],"['A_def', 'A_def']",421,[0.56],[0.09],[0.1]
A good boss,leads!,['leads'],['A_def'],422,[0.44],[0.0],[0.0]
People who step out of line,get a bad blood alcohol level Test Results ,['get a bad blood alcohol level Test Results'],['A_def'],423,[1.0],[0.15],[0.18]
My co-workers and I,"My co-workers in the evolution of consciousness are members of 3 weekly weekly generative dialog groups.  Together we enter shared containers of collective consciousness and collective heart. We explore who we are in this space and what is possible.  We let go of our individual (subtle) egos and we practice trying on and owning identities grounded in more expansive perspectives.  The ultimate goal is to share a planetary or Kosmic identity and once aligned, see what we can accomplish together as one.","['co workers in the evolution of consciousness are members of 3 weekly weekly generative dialog groups', 'Together we enter shared containers of collective consciousness and collective heart', 'We explore', 'who we are in this space and', 'what is possible', 'We let go of our individual subtle egos and', 'we practice trying on and', 'owning identities', 'grounded in more expansive perspectives', 'The ultimate goal is to share a planetary or Kosmic identity and', 'once aligned', 'see', 'what we can accomplish together as one']","['P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x']",424,"[1.0, 1.0, 0.48, 1.0, 0.56, 0.56, 1.0, 0.56, 1.0, 1.0, 1.0, 0.44, 1.0]","[0.25, 0.28, 0.13, 0.02, 0.17, 0.16, 0.11, 0.38, 0.26, 0.18, 0.0, 0.0, 0.16]","[0.33, 0.33, 0.13, 0.05, 0.18, 0.21, 0.13, 0.38, 0.28, 0.24, 0.01, 0.0, 0.19]"
My conscience bothers me if," i exacerbate a situation through my acting or my non-acting.
",['i exacerbate a situation through my acting or my non acting'],['A_pron_x'],425,[1.0],[0.21],[0.26]
"These days, teaching","is a very demanding profession, and in my experience teachers are generally overextended unless they are well organized, and they need better training. preparation, and support.    ","['a very demanding profession and', 'in my experience teachers are generally overextended', 'unless they are well organized and', 'they need better training preparation and support']","['Undefined', 'A_pron_x', 'P_bevb_x', 'A_def']",426,"[0.56, 1.0, 0.56, 0.56]","[0.21, 0.34, 0.14, 0.2]","[0.23, 0.37, 0.17, 0.23]"
Change is,a good thing and should be explored as an option. ,"['a good thing and', 'should be explored as an option']","['Undefined', 'P_bevb_x']",427,"[0.56, 0.56]","[0.01, 0.1]","[0.02, 0.12]"
My father,Died @ an early age. ,['Died an early age'],['A_def'],428,[0.56],[0.07],[0.09]
"These days, work",gets me through the day,['me through the day'],['Undefined'],429,[0.56],[0.01],[0.02]
A good boss,backs his workers,['backs his workers'],['A_pron_x'],430,[1.0],[0.09],[0.1]
"These days, work",is slow because now we are just watering the harvest,"['slow', 'because now we are just watering the harvest']","['Undefined', 'P_bevb_x']",431,"[0.0, 1.0]","[0.0, 0.15]","[0.0, 0.18]"
The thing I like about myself is,Im versatile,"['I', 'm versatile']","['Undefined', 'P_get_x']",432,"[0.88, 0.48]","[0.0, 0.25]","[0.0, 0.26]"
When people are helpless,I am helpful,['I am helpful'],['P_bevb_x'],433,[0.88],[0.09],[0.1]
If I were in charge,id be more careful,['i d be more careful'],['P_bevb_x'],434,[1.0],[0.06],[0.08]
Rules,"are guard rails. It is good and helpful to have them. When you head in the right direction you never get in touch with them, no matter how fast or slow you travel. Good rules are not in your way. ","['are guard rails', 'It is good and helpful to have them', 'When you head in the right direction', 'you never get in touch with them no matter how fast or slow', 'you travel', 'Good rules are not in your way']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x']",435,"[0.48, 0.88, 1.0, 1.0, 0.48, 0.56]","[0.01, 0.05, 0.09, 0.07, 0.13, 0.02]","[0.02, 0.09, 0.12, 0.14, 0.13, 0.05]"
If my mother,needs my help I want to be able to take care of her. ,"['needs my help', 'I want to be able to take care of her']","['A_pron_x', 'P_bevb_x', 'P_bevb_x', 'A_def']",436,"[0.56, 1.0]","[0.01, 0.03]","[0.02, 0.07]"
My main problem is,"at the moment, that Iâ€™m hesitant, almost procrastinating, with regards to a new project dear to me in which I would have to step out and become more visible to the public.","['at the moment', 'that I m hesitant', 'almost procrastinating with regards to a new project dear to me', 'in which I would have to step out and', 'become more visible to the public']","['Undefined', 'P_get_x', 'A_def', 'P_bevb_x', 'A_def', 'P_get_x']",437,"[0.56, 0.88, 1.0, 1.0, 1.0]","[0.09, 0.13, 0.17, 0.02, 0.18]","[0.1, 0.15, 0.22, 0.07, 0.21]"
My main problem is,that where I lack internal guidance I identify with my ego and the way people interpret it,"['that', 'where I lack internal guidance', 'I identify with my ego and the way', 'people interpret it']","['Undefined', 'A_def', 'A_pron_x', 'A_def']",438,"[0.56, 1.0, 0.88, 0.56]","[0.0, 0.16, 0.08, 0.26]","[0.0, 0.18, 0.12, 0.27]"
At times I worry about,the fact that I can be inadvertently overbearing ,"['the fact', 'that I can be inadvertently overbearing']","['Undefined', 'P_bevb_x']",439,"[1.0, 1.0]","[0.0, 0.26]","[0.01, 0.29]"
When I get mad,"i swear profusely & loudly ideally in private, outside, well away from anyone",['i swear profusely loudly ideally in private outside well away from anyone'],['A_def'],440,[0.56],[0.2],[0.26]
A good boss,"Is an oxymoron, 'good' implies positive to me and 'boss' implies power over another to me, which surfaces negative reactions. So to me a 'good boss' is silly, however I have met nice people whose job is to control others, and nice people who like to control others, so maybe it isn't an oxymoron after all. Maybe I dislike that 'good' is positive subjective and 'boss' is more objective but by the nature of using 'good' it makes it seem that boss (power over another) is somehow okay which to me it isn't.","['Is an oxymoron good and', 'implies positive to me', 'boss implies power over another to me', 'which surfaces negative reactions', 'So to me a good boss is silly', 'however I have met nice people so maybe it isn t an oxymoron', 'whose job is to control others and nice people', 'who like to control others', 'after all Maybe I dislike', 'that good is positive subjective and', 'boss is more objective but', 'using good it', 'by the nature of makes which to me it isn t', 'it seem', 'that boss power over another is somehow okay']","['P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x']",441,"[0.88, 0.44, 0.56, 1.0, 0.8, 1.0, 1.0, 1.0, 0.88, 1.0, 1.0, 0.56, 1.0, 0.44, 0.56]","[0.06, 0.2, 0.16, 0.32, 0.05, 0.11, 0.11, 0.11, 0.11, 0.18, 0.11, 0.09, 0.04, 0.0, 0.15]","[0.08, 0.21, 0.19, 0.34, 0.09, 0.18, 0.15, 0.13, 0.13, 0.21, 0.13, 0.1, 0.06, 0.01, 0.18]"
My father,taught me how to think critically and to love deeply.,"['taught me how to think critically and', 'to love deeply']","['A_def', 'A_def', 'A_def']",442,"[1.0, 0.44]","[0.13, 0.01]","[0.16, 0.02]"
I just can\'t stand people who,"are racist, prejudiced, judgmental and chauvinistic. ",['who are racist prejudiced judgmental and chauvinistic'],['P_bevb_x'],443,[1.0],[0.27],[0.3]
If I were in charge,"I'd listen, collaborate, communicate with my employees and peers but most importantly I'd lead by example. ","['I d listen collaborate but', 'communicate with my employees and peers', 'most importantly I d lead by example']","['A_def', 'A_pron_x', 'A_def']",444,"[1.0, 1.0, 0.88]","[0.21, 0.22, 0.2]","[0.23, 0.25, 0.23]"
When I am nervous,my breathing rate increases,['my breathing rate increases'],['Undefined'],445,[1.0],[0.2],[0.21]
Business and society,are interlinked. One supports the other and both are inter dependent,"['are interlinked', 'One supports the other and', 'both are inter dependent']","['P_bevb_x', 'A_def', 'P_bevb_x']",446,"[0.56, 0.56, 0.56]","[0.25, 0.11, 0.2]","[0.26, 0.13, 0.21]"
When I am criticized,"I take it - I may not like it, but if its from a good source I can normally take it on the chin","['I take it', 'I may not like it', 'but if its from a good source I can normally take it on the chin']","['A_def', 'P_bevb_x', 'P_bevb_x']",447,"[0.88, 0.88, 1.0]","[0.01, 0.01, 0.08]","[0.02, 0.03, 0.15]"
If my mother,"had worked on herself while she was younger, she would be happier today and her relationships with others would probably be easier.","['had worked on herself', 'while she was younger', 'she would be happier today and', 'her relationships with others would probably be easier']","['A_def', 'P_bevb_x', 'P_bevb_x', 'A_pron_x']",448,"[0.56, 0.56, 0.56, 0.56]","[0.07, 0.01, 0.14, 0.27]","[0.09, 0.02, 0.17, 0.31]"
When I am criticized,"I am called to deeply reflect on my values, attitudes, behaviours and theories in use.",['I am called to deeply reflect on my values attitudes behaviours and theories in use'],"['A_pron_x', 'A_pron_x']",449,[1.0],[0.18],[0.25]
My co-workers and I,"care deeply about our work, enjoy each others company and laugh a great deal together","['deeply about', 'our work enjoy each others company and', 'laugh a great deal together']","['Undefined', 'A_pron_x', 'A_def']",450,"[0.48, 1.0, 0.56]","[0.0, 0.16, 0.11]","[0.01, 0.19, 0.13]"
What gets me into trouble is,waiting in trust too long before speaking out.,"['waiting in trust too long before', 'speaking out']","['A_def', 'A_def']",451,"[0.56, 0.56]","[0.1, 0.13]","[0.12, 0.13]"
The thing I like about myself is,that I can be a good role model and mentor. ,['that I can be a good role model and mentor'],['P_bevb_x'],452,[1.0],[0.08],[0.12]
My main problem is,"that I have a lot of walls up and hold onto things, at times, too tightly (work, rationale behind decisions, thoughts, feelings, etc).","['that I have a lot of walls up and', 'hold onto things at times too tightly work rationale behind decisions thoughts feelings etc']","['P_bevb_x', 'A_def', 'A_def']",453,"[0.88, 1.0]","[0.02, 0.18]","[0.07, 0.25]"
Education,"should be at the heart of culture, aligned with the natural principles of the cosmos allowing for the flowering of self, community, and  world systems.","['should be at the heart of culture', 'aligned with the natural principles of the cosmos', 'allowing for the flowering of self community and world systems']","['P_bevb_x', 'A_def', 'A_def']",454,"[1.0, 1.0, 1.0]","[0.05, 0.18, 0.23]","[0.09, 0.21, 0.27]"
Rules,"constantly evolve to give integrity to each developmental stage, and yet are relative within the larger chaotic openness that is the unfolding nature of reality.","['constantly evolve to give integrity to each developmental stage and', 'yet are relative within the larger chaotic openness', 'that is the unfolding nature of reality']","['A_def', 'A_def', 'P_bevb_x', 'P_bevb_x']",455,"[1.0, 1.0, 0.56]","[0.23, 0.21, 0.23]","[0.27, 0.25, 0.26]"
When developing strategies&hellip;,I like to seek the input of my work colleagues to create a more robust outcome.  Diversity of input builds quality and engagement,"['like to seek the input of my work colleagues to create a more robust outcome', 'Diversity of input builds quality and engagement']","['A_pron_x', 'A_pron_x', 'A_def', 'A_def']",456,"[1.0, 0.56]","[0.13, 0.3]","[0.2, 0.34]"
What I like to do best is,play.,['play'],['A_def'],457,[0.0],[0.0],[0.0]
The thing I like about myself is,I find beauty in many simple things.,['I find beauty in many simple things'],['A_def'],458,[0.88],[0.09],[0.12]
If my mother,"'s kindness and empathy could be replicated and embedded in our health and community services, all individuals who utilise these services, who are often unwell, from minority or disadvantaged groups, would feel the warmth and care that her patients currently experience.    ","['s kindness and empathy could be replicated and', 'embedded in our health and community services', 'who utilise these services', 'who are often unwell from minority or disadvantaged groups', 'all individuals would feel the warmth and care', 'that her patients currently experience']","['P_bevb_x', 'A_pron_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_pron_x']",459,"[1.0, 1.0, 1.0, 0.56, 1.0, 1.0]","[0.18, 0.23, 0.07, 0.25, 0.15, 0.31]","[0.21, 0.26, 0.09, 0.29, 0.18, 0.33]"
When they avoided me,I wondered what was their motive to do so? ,"['I wondered', 'what was their motive', 'to do so']","['A_def', 'A_pron_x', 'P_bevb_x']",460,"[0.88, 0.56, 0.0]","[0.13, 0.07, 0.01]","[0.13, 0.09, 0.02]"
The past,"becomes less of an influence on me as I age; of course I have been shaped by my past, but ""past"" events and people are...past - and those still in my life, I see thru the eyes and perspective of who I am now - so they are now ""present"".","['becomes less of an influence on me', 'age of course', 'as I I have been shaped by my past but past events and people', 'are past and those still in my life', 'I see thru the eyes and perspective of', 'who I am now', 'so they are now present']","['A_def', 'A_def', 'A_pron_x', 'A_pron_x', 'A_def', 'P_bevb_x', 'P_bevb_x']",461,"[1.0, 1.0, 0.88, 0.56, 1.0, 0.88, 0.56]","[0.13, 0.01, 0.06, 0.02, 0.08, 0.01, 0.01]","[0.16, 0.02, 0.13, 0.06, 0.12, 0.02, 0.03]"
My main problem is,getting over decades spent proving myself.,"['getting over decades', 'spent proving myself']","['A_def', 'A_def', 'A_def']",462,"[1.0, 0.56]","[0.09, 0.17]","[0.1, 0.18]"
